"","pred","se"
"1",10.9840580518373,1.0587100673109
"2",11.0908370080533,1.10103528637134
"3",11.3752798588096,1.1448429459494
"4",11.0683814197381,1.18842079580692
"5",11.2614134800451,1.2418175589176
"6",11.482649432528,1.2963254476611
"7",11.353836695231,1.34585434010188
"8",11.3038615706104,1.39338947147845
"9",11.4733462945537,1.45606107097147
"10",11.4601505513147,1.52333616492914
"11",11.4290157783719,1.57670434355003
"12",11.5498932769142,1.6306175221648
"13",11.4117187024917,1.6995945737917
"14",11.525515362773,1.75308907042232
"15",11.4434309292579,1.81412902352963
"16",11.4227274858382,1.86745183231478
"17",11.3565799205698,1.92881912550703
"18",11.2739225084885,1.98556154641082
"19",11.3082993508783,2.05320203657839
"20",11.1710592452753,2.10540235311843
"21",11.1345293793307,2.16173479874626
"22",11.145581706331,2.21850336869648
"23",10.9475742274653,2.27462763101894
"24",10.9401287818455,2.32810202603579
"25",10.8954636305788,2.39326640432501
"26",10.7458459755092,2.44592090106695
"27",10.7334429594891,2.4966209547851
"28",10.6288853317635,2.55128625810909
"29",10.5190759943461,2.59533207315011
"30",10.4559436879061,2.64276699756302
"31",10.3259504696859,2.68969682757127
"32",10.2345725968049,2.73360607797492
"33",10.1464975056229,2.77793560816036
"34",10.0319760778019,2.8202723331194
"35",9.91813926267155,2.86094838939712
"36",9.82972149239138,2.90011734374166
"37",9.70725003183387,2.93911274066024
"38",9.59697858567142,2.97452914170743
"39",9.48930173635461,3.00993126814389
"40",9.36754752316948,3.04384715810884
"41",9.25453995215187,3.07603494744094
"42",9.13557076963069,3.1072659095441
"43",9.02567621504096,3.13741822910487
"44",8.90138254103537,3.16568677912836
"45",8.78878905901663,3.19265720156446
"46",8.67778475749523,3.21884186711777
"47",8.54747891334891,3.24309090949379
"48",8.4395020544025,3.26656057441737
"49",8.32382455522733,3.28914621118098
"50",8.19914090469813,3.31003148452816
