,zhonghnanindown,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,average
5088,59,53,61,39,57,58,53,45,39,48,47,37,39,49,60
5089,44,59,53,61,39,57,58,53,45,39,48,47,37,39,47.33333333
5090,58,44,59,53,61,39,57,58,53,45,39,48,47,37,59.33333333
5091,57,58,44,59,53,61,39,57,58,53,45,39,48,47,56.33333333
5092,54,57,58,44,59,53,61,39,57,58,53,45,39,48,62.66666667
5093,54,54,57,58,44,59,53,61,39,57,58,53,45,39,54
5094,48,54,54,57,58,44,59,53,61,39,57,58,53,45,64.66666667
5095,53,48,54,54,57,58,44,59,53,61,39,57,58,53,60
5096,65,53,48,54,54,57,58,44,59,53,61,39,57,58,55
5097,68,65,53,48,54,54,57,58,44,59,53,61,39,57,55.66666667
5098,53,68,65,53,48,54,54,57,58,44,59,53,61,39,59
5099,59,53,68,65,53,48,54,54,57,58,44,59,53,61,57
5100,45,59,53,68,65,53,48,54,54,57,58,44,59,53,42.33333333
5101,75,45,59,53,68,65,53,48,54,54,57,58,44,59,45.66666667
5102,60,75,45,59,53,68,65,53,48,54,54,57,58,44,43.33333333
5103,46,60,75,45,59,53,68,65,53,48,54,54,57,58,45.33333333
5104,46,46,60,75,45,59,53,68,65,53,48,54,54,57,33.33333333
5105,51,46,46,60,75,45,59,53,68,65,53,48,54,54,44
5106,55,51,46,46,60,75,45,59,53,68,65,53,48,54,41.33333333
5107,40,55,51,46,46,60,75,45,59,53,68,65,53,48,43.33333333
5108,60,40,55,51,46,46,60,75,45,59,53,68,65,53,53
5109,61,60,40,55,51,46,46,60,75,45,59,53,68,65,41.66666667
5110,59,61,60,40,55,51,46,46,60,75,45,59,53,68,45.33333333
5111,54,59,61,60,40,55,51,46,46,60,75,45,59,53,45.33333333
5112,45,54,59,61,60,40,55,51,46,46,60,75,45,59,47
5113,58,45,54,59,61,60,40,55,51,46,46,60,75,45,47
5114,38,58,45,54,59,61,60,40,55,51,46,46,60,75,46
5115,37,38,58,45,54,59,61,60,40,55,51,46,46,60,41.66666667
5116,39,37,38,58,45,54,59,61,60,40,55,51,46,46,44.33333333
5117,35,39,37,38,58,45,54,59,61,60,40,55,51,46,41.66666667
5118,34,35,39,37,38,58,45,54,59,61,60,40,55,51,34
5119,30,34,35,39,37,38,58,45,54,59,61,60,40,55,31.33333333
5120,45,30,34,35,39,37,38,58,45,54,59,61,60,40,29
5121,25,45,30,34,35,39,37,38,58,45,54,59,61,60,38.33333333
5122,38,25,45,30,34,35,39,37,38,58,45,54,59,61,29.66666667
5123,22,38,25,45,30,34,35,39,37,38,58,45,54,59,25.33333333
5124,27,22,38,25,45,30,34,35,39,37,38,58,45,54,27.66666667
5125,29,27,22,38,25,45,30,34,35,39,37,38,58,45,28
5126,23,29,27,22,38,25,45,30,34,35,39,37,38,58,25
5127,29,23,29,27,22,38,25,45,30,34,35,39,37,38,23.66666667
5128,20,29,23,29,27,22,38,25,45,30,34,35,39,37,22.66666667
5129,24,20,29,23,29,27,22,38,25,45,30,34,35,39,18.66666667
5130,19,24,20,29,23,29,27,22,38,25,45,30,34,35,16.33333333
5131,19,19,24,20,29,23,29,27,22,38,25,45,30,34,23
5132,19,19,19,24,20,29,23,29,27,22,38,25,45,30,14.66666667
5133,26,19,19,19,24,20,29,23,29,27,22,38,25,45,18.66666667
5134,17,26,19,19,19,24,20,29,23,29,27,22,38,25,25.66666667
5135,23,17,26,19,19,19,24,20,29,23,29,27,22,38,25.66666667
5136,17,23,17,26,19,19,19,24,20,29,23,29,27,22,21
5137,23,17,23,17,26,19,19,19,24,20,29,23,29,27,16.33333333
5138,22,23,17,23,17,26,19,19,19,24,20,29,23,29,22
5139,15,22,23,17,23,17,26,19,19,19,24,20,29,23,19.33333333
5140,21,15,22,23,17,23,17,26,19,19,19,24,20,29,16
5141,20,21,15,22,23,17,23,17,26,19,19,19,24,20,16.66666667
5142,16,20,21,15,22,23,17,23,17,26,19,19,19,24,18
5143,17,16,20,21,15,22,23,17,23,17,26,19,19,19,21
5144,12,17,16,20,21,15,22,23,17,23,17,26,19,19,17.33333333
5145,10,12,17,16,20,21,15,22,23,17,23,17,26,19,18
5146,12,10,12,17,16,20,21,15,22,23,17,23,17,26,13.33333333
5147,17,12,10,12,17,16,20,21,15,22,23,17,23,17,16
5148,12,17,12,10,12,17,16,20,21,15,22,23,17,23,14.66666667
5149,17,12,17,12,10,12,17,16,20,21,15,22,23,17,10.66666667
5150,13,17,12,17,12,10,12,17,16,20,21,15,22,23,10.33333333
5151,13,13,17,12,17,12,10,12,17,16,20,21,15,22,15
5152,16,13,13,17,12,17,12,10,12,17,16,20,21,15,13.66666667
5153,13,16,13,13,17,12,17,12,10,12,17,16,20,21,12
5154,17,13,16,13,13,17,12,17,12,10,12,17,16,20,11.66666667
5155,10,17,13,16,13,13,17,12,17,12,10,12,17,16,8.333333333
5156,11,10,17,13,16,13,13,17,12,17,12,10,12,17,9.666666667
5157,11,11,10,17,13,16,13,13,17,12,17,12,10,12,14.33333333
5158,9,11,11,10,17,13,16,13,13,17,12,17,12,10,9.666666667
5159,5,9,11,11,10,17,13,16,13,13,17,12,17,12,9
5160,5,5,9,11,11,10,17,13,16,13,13,17,12,17,11.33333333
5161,11,5,5,9,11,11,10,17,13,16,13,13,17,12,8
5162,10,11,5,5,9,11,11,10,17,13,16,13,13,17,7.333333333
5163,12,10,11,5,5,9,11,11,10,17,13,16,13,13,7.666666667
5164,11,12,10,11,5,5,9,11,11,10,17,13,16,13,10.66666667
5165,9,11,12,10,11,5,5,9,11,11,10,17,13,16,9.333333333
5166,7,9,11,12,10,11,5,5,9,11,11,10,17,13,7.333333333
5167,7,7,9,11,12,10,11,5,5,9,11,11,10,17,6.666666667
5168,6,7,7,9,11,12,10,11,5,5,9,11,11,10,7
5169,7,6,7,7,9,11,12,10,11,5,5,9,11,11,8.666666667
5170,7,7,6,7,7,9,11,12,10,11,5,5,9,11,7.333333333
5171,4,7,7,6,7,7,9,11,12,10,11,5,5,9,5.333333333
5172,0,4,7,7,6,7,7,9,11,12,10,11,5,5,5.333333333
5173,4,0,4,7,7,6,7,7,9,11,12,10,11,5,5
5174,7,4,0,4,7,7,6,7,7,9,11,12,10,11,4.666666667
5175,3,7,4,0,4,7,7,6,7,7,9,11,12,10,5
5176,8,3,7,4,0,4,7,7,6,7,7,9,11,12,5
5177,5,8,3,7,4,0,4,7,7,6,7,7,9,11,5.333333333
5178,4,5,8,3,7,4,0,4,7,7,6,7,7,9,5
5179,1,4,5,8,3,7,4,0,4,7,7,6,7,7,5
5180,4,1,4,5,8,3,7,4,0,4,7,7,6,7,3.333333333
5181,4,4,1,4,5,8,3,7,4,0,4,7,7,6,3.333333333
5182,3,4,4,1,4,5,8,3,7,4,0,4,7,7,3.333333333
