data,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11
118,110,140,139,105,107,79,63,75,57,60,57
110,140,139,105,107,79,63,75,57,60,57,56
140,139,105,107,79,63,75,57,60,57,56,48
139,105,107,79,63,75,57,60,57,56,48,52
105,107,79,63,75,57,60,57,56,48,52,43
107,79,63,75,57,60,57,56,48,52,43,40
79,63,75,57,60,57,56,48,52,43,40,21
63,75,57,60,57,56,48,52,43,40,21,25
75,57,60,57,56,48,52,43,40,21,25,23
57,60,57,56,48,52,43,40,21,25,23,29
60,57,56,48,52,43,40,21,25,23,29,32
57,56,48,52,43,40,21,25,23,29,32,21
56,48,52,43,40,21,25,23,29,32,21,11
48,52,43,40,21,25,23,29,32,21,11,22
52,43,40,21,25,23,29,32,21,11,22,19
43,40,21,25,23,29,32,21,11,22,19,14
40,21,25,23,29,32,21,11,22,19,14,9
21,25,23,29,32,21,11,22,19,14,9,14
25,23,29,32,21,11,22,19,14,9,14,13
23,29,32,21,11,22,19,14,9,14,13,7
29,32,21,11,22,19,14,9,14,13,7,9
32,21,11,22,19,14,9,14,13,7,9,9
21,11,22,19,14,9,14,13,7,9,9,7
11,22,19,14,9,14,13,7,9,9,7,8
22,19,14,9,14,13,7,9,9,7,8,8
19,14,9,14,13,7,9,9,7,8,8,11
14,9,14,13,7,9,9,7,8,8,11,8
9,14,13,7,9,9,7,8,8,11,8,6
14,13,7,9,9,7,8,8,11,8,6,3
13,7,9,9,7,8,8,11,8,6,3,3
7,9,9,7,8,8,11,8,6,3,3,7
9,9,7,8,8,11,8,6,3,3,7,6
9,7,8,8,11,8,6,3,3,7,6,8
7,8,8,11,8,6,3,3,7,6,8,3
8,8,11,8,6,3,3,7,6,8,3,8
8,11,8,6,3,3,7,6,8,3,8,13
11,8,6,3,3,7,6,8,3,8,13,16
8,6,3,3,7,6,8,3,8,13,16,14
6,3,3,7,6,8,3,8,13,16,14,22
3,3,7,6,8,3,8,13,16,14,22,24
3,7,6,8,3,8,13,16,14,22,24,29
7,6,8,3,8,13,16,14,22,24,29,38
6,8,3,8,13,16,14,22,24,29,38,49
8,3,8,13,16,14,22,24,29,38,49,48
3,8,13,16,14,22,24,29,38,49,48,58
8,13,16,14,22,24,29,38,49,48,58,89
13,16,14,22,24,29,38,49,48,58,89,126
16,14,22,24,29,38,49,48,58,89,126,157
14,22,24,29,38,49,48,58,89,126,157,136
22,24,29,38,49,48,58,89,126,157,136,142
24,29,38,49,48,58,89,126,157,136,142,116
29,38,49,48,58,89,126,157,136,142,116,170
38,49,48,58,89,126,157,136,142,116,170,146
49,48,58,89,126,157,136,142,116,170,146,129
48,58,89,126,157,136,142,116,170,146,129,177
58,89,126,157,136,142,116,170,146,129,177,162
89,126,157,136,142,116,170,146,129,177,162,133
126,157,136,142,116,170,146,129,177,162,133,143
157,136,142,116,170,146,129,177,162,133,143,104
136,142,116,170,146,129,177,162,133,143,104,106
142,116,170,146,129,177,162,133,143,104,106,108
116,170,146,129,177,162,133,143,104,106,108,95
170,146,129,177,162,133,143,104,106,108,95,102
146,129,177,162,133,143,104,106,108,95,102,108
129,177,162,133,143,104,106,108,95,102,108,118
177,162,133,143,104,106,108,95,102,108,118,118
162,133,143,104,106,108,95,102,108,118,118,93
133,143,104,106,108,95,102,108,118,118,93,106
143,104,106,108,95,102,108,118,118,93,106,127
104,106,108,95,102,108,118,118,93,106,127,104
106,108,95,102,108,118,118,93,106,127,104,86
108,95,102,108,118,118,93,106,127,104,86,125
95,102,108,118,118,93,106,127,104,86,125,121
102,108,118,118,93,106,127,104,86,125,121,135
108,118,118,93,106,127,104,86,125,121,135,111
118,118,93,106,127,104,86,125,121,135,111,154
118,93,106,127,104,86,125,121,135,111,154,136
93,106,127,104,86,125,121,135,111,154,136,121
106,127,104,86,125,121,135,111,154,136,121,132
127,104,86,125,121,135,111,154,136,121,132,101
104,86,125,121,135,111,154,136,121,132,101,159
86,125,121,135,111,154,136,121,132,101,159,140
125,121,135,111,154,136,121,132,101,159,140,150
121,135,111,154,136,121,132,101,159,140,150,138
135,111,154,136,121,132,101,159,140,150,138,158
111,154,136,121,132,101,159,140,150,138,158,157
154,136,121,132,101,159,140,150,138,158,157,144
136,121,132,101,159,140,150,138,158,157,144,122
121,132,101,159,140,150,138,158,157,144,122,103
132,101,159,140,150,138,158,157,144,122,103,103
101,159,140,150,138,158,157,144,122,103,103,74
159,140,150,138,158,157,144,122,103,103,74,81
140,150,138,158,157,144,122,103,103,74,81,76
150,138,158,157,144,122,103,103,74,81,76,63
138,158,157,144,122,103,103,74,81,76,63,40
158,157,144,122,103,103,74,81,76,63,40,62
157,144,122,103,103,74,81,76,63,40,62,47
144,122,103,103,74,81,76,63,40,62,47,58
122,103,103,74,81,76,63,40,62,47,58,49
103,103,74,81,76,63,40,62,47,58,49,35
103,74,81,76,63,40,62,47,58,49,35,40
74,81,76,63,40,62,47,58,49,35,40,36
81,76,63,40,62,47,58,49,35,40,36,22
76,63,40,62,47,58,49,35,40,36,22,33
63,40,62,47,58,49,35,40,36,22,33,25
40,62,47,58,49,35,40,36,22,33,25,25
62,47,58,49,35,40,36,22,33,25,25,21
47,58,49,35,40,36,22,33,25,25,21,12
58,49,35,40,36,22,33,25,25,21,12,15
49,35,40,36,22,33,25,25,21,12,15,21
35,40,36,22,33,25,25,21,12,15,21,12
40,36,22,33,25,25,21,12,15,21,12,14
36,22,33,25,25,21,12,15,21,12,14,9
22,33,25,25,21,12,15,21,12,14,9,4
33,25,25,21,12,15,21,12,14,9,4,7
25,25,21,12,15,21,12,14,9,4,7,5
